Time,Sensor 1,Sensor 10,Sensor 6,Sensor 7,Sensor 4,Sensor 2,Sensor 5,Sensor 3,Sensor 8,Sensor 11
2024-02-24 16:23:27,5.31275,5.708,5.047563,7.276687,5.2741875,4.898625,4.935063,4.828312,6.442375,5.78988
2024-02-24 16:24:35,5.18775,5.583,4.922563,7.026687,5.1491875,4.773625,4.810063,4.703312,6.317375,5.72688
2024-02-24 16:25:43,5.12575,5.521,4.7345630000000005,6.901687,5.0861875,4.648625,4.685063,4.578312,6.192375,5.66488
2024-02-24 16:26:51,5.00075,5.396,4.6095630000000005,6.651687,4.9611875,4.523625,4.622063000000001,4.4533119999999995,6.067375,5.47688
2024-02-24 16:28:00,4.87575,5.271,4.547563,6.463687,4.7741875,4.398625,4.435063,4.4533119999999995,5.942375,5.35188
2024-02-24 16:29:08,4.75075,5.271,4.547563,6.276687,4.7111875,4.273625,4.310063,4.2033119999999995,5.817375,5.22688
2024-02-24 16:30:16,4.75075,5.271,99998.922563,6.276687,4.5861875,4.148625,4.185063,4.2033119999999995,5.817375,5.16488
2024-02-24 16:31:25,4.56275,5.021,4.547563,6.276687,4.5861875,4.148625,4.122063000000001,3.953312,5.567375,5.03988
2024-02-24 16:32:33,4.56275,4.958,4.172563,5.651687,4.3361875,3.961625,3.9970630000000003,3.891312,5.505375,4.91488
2024-02-24 16:33:41,4.43775,4.958,4.172563,5.338687,4.3361875,3.898625,3.935063,3.828312,5.442375,4.91488
2024-02-24 16:34:49,4.37575,4.833,4.047563,5.151687,4.2741875,3.836625,3.810063,3.766312,5.380375,4.72688
2024-02-24 16:35:57,4.37575,4.833,4.047563,4.963687,4.2741875,3.898625,3.8720630000000003,3.828312,5.380375,4.72688
2024-02-24 16:37:05,4.37575,4.771,4.047563,4.838687,4.2741875,3.898625,3.8720630000000003,3.766312,5.317375,4.66488
2024-02-24 16:38:14,4.25075,4.771,4.047563,4.651687,4.1491875,3.836625,3.810063,3.766312,5.317375,4.66488
2024-02-24 16:39:22,4.25075,4.771,3.984563,4.651687,4.1491875,3.836625,3.810063,3.766312,5.255375,4.60188
2024-02-24 16:40:30,4.187749999999999,4.646,3.922563,4.463687,4.0861875,3.773625,3.685063,3.766312,5.255375,4.60188
2024-02-24 16:41:38,4.187749999999999,4.521,3.922563,4.338687,3.9611875,3.648625,3.622063,3.578312,5.067375,4.41488
2024-02-24 16:42:46,4.062749999999999,4.521,3.797563,4.338687,4.0241875,3.586625,3.560063,3.516312,5.005375,4.41488
2024-02-24 16:43:54,3.93775,4.458,3.797563,4.088687,3.8361875,3.461625,3.560063,3.391312,4.942375,4.28988
2024-02-24 16:45:03,3.81275,4.333,3.4845629999999996,4.026687,3.8361875,3.336625,3.310063,3.266312,4.817375,4.10188
2024-02-24 16:46:11,3.75075,4.208,3.422563,3.9636869999999997,3.5861875,3.211625,3.185063,3.141312,4.692375,4.03988
2024-02-24 16:47:19,3.68775,4.146,3.422563,3.8386869999999997,3.5861875,3.211625,3.247063,3.141312,4.692375,4.03988
2024-02-24 16:48:27,3.75075,4.271,3.4845629999999996,3.776687,3.6491875,3.273625,3.247063,3.203312,4.692375,4.10188
2024-02-24 16:49:35,3.75075,4.271,3.4845629999999996,3.7136869999999997,3.6491875,3.273625,3.185063,3.141312,4.692375,4.03988
2024-02-24 16:50:44,3.68775,4.208,3.4845629999999996,3.7136869999999997,3.5861875,3.148625,3.185063,3.078312,4.630375,4.03988
2024-02-24 16:51:52,3.56275,4.146,3.297563,3.5886869999999997,3.4611875,3.086625,3.060063,2.953312,4.505375,3.91488
2024-02-24 16:53:00,3.56275,4.083,3.2345629999999996,3.4636869999999997,3.3991875,3.086625,2.997063,2.953312,4.505375,3.8518800000000004
2024-02-24 16:54:08,3.50075,4.021,3.2345629999999996,3.4636869999999997,3.3361875,2.961625,2.997063,2.953312,4.505375,3.78988
2024-02-24 16:55:16,3.43775,3.958,3.1095629999999996,3.401687,3.2741875,2.898625,2.872063,2.828312,4.380375,3.72688
2024-02-24 16:56:24,3.37575,3.896,3.047563,3.3386869999999997,3.2111875,2.773625,2.747063,2.703312,4.255375,3.60188
2024-02-24 16:57:33,3.25075,3.8329999999999997,3.047563,3.276687,3.2111875,2.711625,99998.810063,2.641312,4.255375,3.60188
2024-02-24 16:58:41,3.31275,3.8329999999999997,2.922563,3.2136869999999997,3.1491875,2.711625,2.685063,2.641312,4.192375,3.60188
2024-02-24 16:59:49,3.25075,3.8329999999999997,2.922563,3.151687,3.0861875,2.648625,2.685063,2.578312,4.130375,3.53988
2024-02-24 17:00:57,3.12575,3.771,2.797563,3.0886869999999997,3.0241875,2.523625,2.560063,2.516312,4.067375,3.53988
2024-02-24 17:02:06,3.12575,3.771,2.797563,3.0886869999999997,2.9611875,2.461625,2.497063,2.453312,4.067375,3.41488
2024-02-24 17:03:14,3.06275,3.646,2.672563,2.9636869999999997,2.9611875,2.398625,2.435063,2.453312,4.067375,3.35188
2024-02-24 17:04:22,2.93775,3.5829999999999997,2.547563,2.8386869999999997,2.7741875,2.336625,2.310063,2.266312,3.880375,3.28988
2024-02-24 17:05:30,2.87575,3.521,2.4845629999999996,2.8386869999999997,2.7741875,2.336625,2.247063,2.141312,3.755375,3.16488
2024-02-24 17:06:38,2.87575,3.4579999999999997,2.4845629999999996,2.7136869999999997,2.7111875,2.211625,2.247063,2.141312,3.6923749999999997,3.16488
2024-02-24 17:07:47,2.81275,3.4579999999999997,2.4845629999999996,2.651687,2.7111875,2.148625,2.310063,2.141312,3.6923749999999997,3.16488
2024-02-24 17:08:55,2.81275,3.4579999999999997,2.4845629999999996,2.7136869999999997,2.7111875,2.211625,2.247063,2.203312,3.755375,3.10188
2024-02-24 17:10:03,2.93775,3.521,2.6095629999999996,2.5886869999999997,2.7111875,2.273625,2.310063,2.266312,3.8173749999999997,3.22688
2024-02-24 17:11:11,2.93775,3.521,2.6095629999999996,2.526687,2.7111875,2.273625,2.310063,2.266312,3.8173749999999997,3.16488
2024-02-24 17:12:19,2.87575,3.4579999999999997,2.6095629999999996,2.5886869999999997,2.7111875,2.273625,2.247063,2.203312,3.8173749999999997,3.16488
2024-02-24 17:13:28,2.81275,3.396,2.4845629999999996,2.4636869999999997,2.5241875,2.211625,2.185063,2.141312,3.755375,3.03988
2024-02-24 17:14:36,2.75075,3.3329999999999997,2.3595629999999996,2.3386869999999997,2.4611875,2.086625,2.060063,2.016312,3.5673749999999997,2.97688
2024-02-24 17:15:44,2.75075,3.3329999999999997,2.422563,2.3386869999999997,2.5241875,2.086625,2.122063,2.078312,3.630375,2.97688
2024-02-24 17:16:53,2.81275,3.3329999999999997,2.547563,99999.026687,2.5861875,2.148625,2.185063,2.141312,3.6923749999999997,3.10188
2024-02-24 17:18:01,2.87575,3.4579999999999997,2.547563,2.401687,2.5861875,2.148625,2.247063,2.141312,3.755375,3.10188
2024-02-24 17:19:09,2.81275,3.396,2.4845629999999996,2.3386869999999997,2.5241875,2.148625,2.185063,2.141312,3.755375,3.10188
2024-02-24 17:20:17,2.81275,3.396,2.547563,2.3386869999999997,2.5861875,2.211625,2.185063,2.203312,3.755375,3.10188
2024-02-24 17:21:25,2.81275,3.3329999999999997,2.547563,2.276687,2.5861875,2.211625,2.185063,2.203312,3.755375,3.10188
2024-02-24 17:22:34,2.81275,3.3329999999999997,2.547563,2.276687,2.5861875,2.148625,2.185063,2.141312,3.6923749999999997,3.03988
2024-02-24 17:23:42,2.62575,3.2079999999999997,2.3595629999999996,2.0886869999999997,2.3991875,2.023625,1.9970629999999998,2.016312,3.5673749999999997,2.91488
2024-02-24 17:24:50,2.62575,3.146,2.3595629999999996,2.0886869999999997,2.3991875,2.023625,1.9970629999999998,1.953312,3.5673749999999997,2.85188
2024-02-24 17:25:58,2.56275,3.146,2.2345629999999996,2.026687,2.2741875,1.898625,1.8720629999999998,1.828312,3.505375,2.85188
2024-02-24 17:27:06,2.56275,3.146,2.2345629999999996,1.963687,2.2741875,1.961625,1.8720629999999998,1.891312,3.4423749999999997,2.78988
2024-02-24 17:28:14,2.50075,3.146,2.172563,1.963687,2.2741875,1.836625,1.810063,1.828312,3.4423749999999997,2.78988
2024-02-24 17:29:23,2.50075,3.0829999999999997,2.172563,1.963687,2.2741875,1.836625,1.810063,1.766312,3.380375,2.78988
2024-02-24 17:30:31,2.43775,3.021,2.047563,1.838687,2.1491875,1.773625,1.810063,1.703312,3.3173749999999997,2.66488
2024-02-24 17:31:39,2.31275,2.9579999999999997,1.922563,1.651687,2.0241875,1.648625,1.622063,1.578312,3.130375,2.60188
2024-02-24 17:32:47,2.18775,2.8329999999999997,1.859563,1.651687,1.8991875,1.523625,1.497063,1.453312,3.130375,2.47688
2024-02-24 17:33:55,2.18775,2.8329999999999997,1.859563,1.526687,1.9611875,1.523625,1.497063,1.453312,3.130375,2.47688
2024-02-24 17:35:03,2.18775,2.771,1.797563,1.526687,1.8991875,1.523625,1.560063,1.453312,3.0673749999999997,2.41488
2024-02-24 17:36:12,2.12575,2.7079999999999997,1.672563,1.401687,1.8361875,1.398625,1.372063,1.328312,3.005375,2.35188
2024-02-24 17:37:20,2.00075,2.7079999999999997,1.672563,1.338687,1.8361875,1.273625,1.372063,1.266312,2.880375,2.22688
2024-02-24 17:38:28,1.93775,2.646,1.672563,1.213687,1.5861875,1.273625,1.247063,1.266312,2.8173749999999997,2.22688
2024-02-24 17:39:36,1.87575,2.5829999999999997,1.484563,1.088687,1.5861875,1.148625,1.185063,1.078312,2.6923749999999997,2.16488
2024-02-24 17:40:44,1.75075,2.521,1.422563,1.088687,1.5861875,1.086625,1.060063,1.016312,2.5673749999999997,2.03988
2024-02-24 17:41:53,1.75075,2.396,1.359563,0.9636870000000001,1.4611875,1.023625,1.060063,0.9533119999999999,2.630375,2.03988
2024-02-24 17:43:01,1.68775,2.396,1.359563,0.9636870000000001,1.3991875,1.023625,1.060063,0.9533119999999999,2.630375,1.9768799999999997
2024-02-24 17:44:09,1.62575,2.396,1.297563,0.901687,1.4611875,0.961625,0.997063,0.9533119999999999,2.5673749999999997,1.9768799999999997
